fd,model,loss,window,lr,hp,seed,val_rmse,test_rmse,nasa,sec
FD002,cnn,asym,30,0.0005,"ch128,k5,poolavg,p0.3",7,19.52,18.405,1835.5,15.9
FD002,cnn,asym,50,0.0005,"ch128,k5,poolmax,p0.3",7,23.941,24.844,4447.4,30.1
FD002,cnn,mse,30,0.0005,"ch128,k7,poolmax,p0.2",7,20.015,18.795,2708.0,10.4
FD002,lstm,mse,50,0.0005,"hid64,layers1,p0.2",7,13.356,13.333,832.8,24.6
FD002,lstm,asym,30,0.0005,"hid64,layers2,p0.2",7,15.327,14.503,1132.6,21.5
FD002,lstm,asym,50,0.0005,"hid64,layers3,p0.2",7,14.073,14.08,834.2,17.7
FD002,lstm,mse,30,0.0005,"hid96,layers1,p0.3",7,14.845,13.619,833.5,26.4
FD002,lstm,mse,50,0.0005,"hid96,layers2,p0.3",7,13.481,12.674,821.7,23.8
FD002,lstm,asym,30,0.0005,"hid96,layers3,p0.3",7,15.248,14.605,1077.6,29.5
FD002,lstm,asym,50,0.0005,"hid128,layers1,p0.3",7,13.139,12.78,706.2,47.6
FD002,lstm,mse,30,0.0005,"hid128,layers3,p0.2",7,15.137,14.55,1194.4,72.7
FD002,lstm,mse,50,0.0005,"hid160,layers1,p0.2",7,13.375,12.691,812.1,131.0
FD002,lstm,asym,30,0.0005,"hid160,layers2,p0.2",7,14.932,13.883,948.6,118.2
FD002,lstm,asym,50,0.0005,"hid160,layers3,p0.2",7,13.657,13.076,777.7,292.5
FD002,gru,mse,30,0.001,"hid64,layers1,p0.2",7,14.867,12.99,759.2,30.4
FD002,gru,mse,30,0.0005,"hid64,layers1,p0.3",7,14.839,13.479,810.2,40.7
FD002,gru,mse,50,0.001,"hid64,layers2,p0.2",7,13.115,12.943,763.6,14.7
FD002,gru,mse,50,0.0005,"hid64,layers2,p0.3",7,13.184,12.814,729.4,26.7
FD002,gru,asym,30,0.001,"hid64,layers3,p0.2",7,15.248,14.311,900.9,23.1
FD002,gru,asym,30,0.0005,"hid64,layers3,p0.3",7,15.258,14.433,934.2,22.0
FD002,gru,asym,50,0.001,"hid96,layers1,p0.2",7,12.996,12.701,767.8,26.7
FD002,gru,asym,50,0.0005,"hid96,layers1,p0.3",7,13.021,12.435,666.2,28.3
FD002,gru,mse,30,0.001,"hid96,layers2,p0.3",7,14.901,13.563,861.0,22.0
FD002,gru,mse,30,0.0005,"hid96,layers3,p0.2",7,15.002,13.867,932.0,40.3
FD002,gru,mse,50,0.001,"hid96,layers3,p0.3",7,13.376,12.619,720.6,27.5
FD002,gru,mse,50,0.0005,"hid128,layers1,p0.2",7,13.124,12.704,801.2,29.7
FD002,gru,asym,30,0.001,"hid128,layers1,p0.3",7,15.326,14.185,795.1,38.2
FD002,gru,asym,30,0.0005,"hid128,layers2,p0.2",7,14.829,14.17,946.7,29.5
FD002,gru,asym,50,0.001,"hid128,layers2,p0.3",7,13.118,12.489,679.2,21.3
FD002,gru,asym,50,0.0005,"hid128,layers3,p0.2",7,13.103,12.801,689.5,38.8
FD002,bilstm,mse,30,0.001,"hid64,layers1,p0.2",7,15.307,13.776,798.3,23.3
FD002,bilstm,mse,30,0.0005,"hid64,layers1,p0.3",7,15.333,14.115,873.4,30.5
FD002,bilstm,mse,50,0.001,"hid64,layers2,p0.2",7,13.627,12.595,812.5,19.6
FD002,bilstm,mse,50,0.0005,"hid64,layers2,p0.3",7,13.672,13.047,692.9,28.9
FD002,bilstm,asym,30,0.001,"hid96,layers1,p0.2",7,15.003,13.518,838.9,38.4
FD002,bilstm,asym,30,0.0005,"hid96,layers1,p0.3",7,15.025,13.883,825.1,41.3
FD002,bilstm,asym,50,0.001,"hid96,layers2,p0.2",7,13.61,12.785,755.6,29.7
FD002,bilstm,asym,50,0.0005,"hid96,layers2,p0.3",7,13.439,13.066,818.6,60.5
FD002,bilstm,mse,30,0.001,"hid128,layers1,p0.3",7,15.143,13.694,879.4,38.9
FD002,bilstm,mse,30,0.0005,"hid128,layers2,p0.2",7,14.85,14.245,985.1,48.4
FD002,bilstm,mse,50,0.001,"hid128,layers2,p0.3",7,13.409,12.653,717.7,48.9
FD002,cnnlstm,mse,50,0.0005,"ch32,hid64,p0.2",7,14.764,14.764,973.2,24.6
FD002,cnnlstm,asym,30,0.001,"ch32,hid64,p0.3",7,16.426,16.426,1160.2,19.9
FD002,cnnlstm,asym,30,0.0005,"ch32,hid96,p0.2",7,15.854,14.435,1105.6,22.6
FD002,cnnlstm,asym,50,0.001,"ch32,hid96,p0.3",7,14.141,13.934,950.6,19.1
FD002,cnnlstm,asym,50,0.0005,"ch32,hid128,p0.2",7,14.637,14.563,929.7,19.7
FD002,cnnlstm,mse,30,0.001,"ch64,hid64,p0.2",7,17.048,15.983,1476.4,14.0
FD002,cnnlstm,mse,30,0.0005,"ch64,hid64,p0.3",7,17.607,17.969,1549.5,18.0
FD002,cnnlstm,mse,50,0.001,"ch64,hid96,p0.2",7,14.556,14.476,964.3,13.8
FD002,cnnlstm,mse,50,0.0005,"ch64,hid96,p0.3",7,14.433,14.608,846.1,13.9
FD002,cnnlstm,asym,30,0.001,"ch64,hid128,p0.2",7,15.719,14.794,931.2,12.8
FD002,cnnlstm,asym,30,0.0005,"ch64,hid128,p0.3",7,15.96,16.322,1178.7,15.2
FD002,tcn,asym,50,0.001,"ch32,levels3,p0.1",7,17.111,15.004,1054.4,16.1
FD002,tcn,asym,50,0.001,"ch32,levels3,p0.2",7,16.91,15.421,981.6,22.3
FD002,tcn,asym,30,0.001,"ch32,levels4,p0.1",7,16.397,15.548,1366.9,27.7
FD002,tcn,mse,50,0.001,"ch32,levels4,p0.2",7,14.449,13.244,838.9,28.3
FD002,tcn,mse,30,0.001,"ch32,levels5,p0.1",7,16.398,14.898,1437.7,25.6
FD002,tcn,asym,50,0.001,"ch32,levels5,p0.1",7,14.649,13.598,763.3,20.9
FD002,tcn,asym,30,0.001,"ch32,levels5,p0.2",7,16.1,14.447,1095.5,33.9
FD002,tcn,mse,50,0.001,"ch32,levels6,p0.1",7,14.328,13.69,890.3,25.9
FD002,tcn,mse,30,0.001,"ch32,levels6,p0.2",7,16.035,15.09,1254.5,29.3
FD002,tcn,asym,50,0.001,"ch32,levels6,p0.2",7,14.087,13.158,766.5,34.5
FD002,tcn,asym,30,0.001,"ch64,levels3,p0.1",7,17.143,14.583,1526.3,18.5
FD002,tcn,mse,50,0.001,"ch64,levels3,p0.2",7,17.181,14.345,1177.7,19.8
FD002,tcn,mse,30,0.001,"ch64,levels4,p0.1",7,16.632,15.535,1125.5,20.9
FD002,tcn,asym,50,0.001,"ch64,levels4,p0.1",7,15.099,13.936,1117.9,21.0
FD002,tcn,asym,30,0.001,"ch64,levels4,p0.2",7,16.423,14.523,1252.3,18.3
FD002,tcn,mse,50,0.001,"ch64,levels5,p0.1",7,14.597,13.48,810.0,21.5
FD002,tcn,mse,30,0.001,"ch64,levels5,p0.2",7,15.83,14.96,1390.3,25.9
FD002,tcn,asym,50,0.001,"ch64,levels5,p0.2",7,14.683,13.636,705.3,22.4
FD002,tcn,asym,30,0.001,"ch64,levels6,p0.1",7,16.834,15.486,930.1,21.0
FD002,tcn,mse,50,0.001,"ch64,levels6,p0.2",7,14.569,13.613,974.9,27.0
FD002,tcn,mse,30,0.001,"ch96,levels3,p0.1",7,17.103,16.013,1492.9,17.0
FD002,tcn,asym,50,0.001,"ch96,levels3,p0.1",7,17.247,16.383,1407.4,19.0
FD002,tcn,asym,30,0.001,"ch96,levels3,p0.2",7,16.59,15.788,1306.3,22.1
FD002,tcn,mse,50,0.001,"ch96,levels4,p0.1",7,15.122,14.344,1119.4,19.1
FD002,tcn,mse,30,0.001,"ch96,levels4,p0.2",7,16.693,15.176,1157.0,22.0
FD002,tcn,asym,50,0.001,"ch96,levels4,p0.2",7,14.514,14.158,851.4,26.5
FD002,tcn,asym,30,0.001,"ch96,levels5,p0.1",7,16.841,16.523,1423.4,23.1
FD002,tcn,mse,50,0.001,"ch96,levels5,p0.2",7,15.058,14.267,1001.6,29.3
FD002,tcn,mse,30,0.001,"ch96,levels6,p0.1",7,17.042,16.074,1421.7,29.3
FD002,tcn,asym,50,0.001,"ch96,levels6,p0.1",7,14.325,13.492,928.7,26.7
FD002,tcn,asym,30,0.001,"ch96,levels6,p0.2",7,16.749,15.525,1134.0,23.4
FD002,dlinear,mse,50,0.001,kernel15,7,14.243,14.541,1216.4,36.5
FD002,dlinear,mse,30,0.001,kernel35,7,15.783,14.505,981.1,47.6
FD002,patchtst,mse,50,0.001,"patch10,stride5,d_model64,layers2,revinTrue",7,13.868,19.488,4424.5,148.3
FD002,patchtst,asym,50,0.0005,"patch10,stride5,d_model64,layers2,revinTrue",42,14.129,17.788,2159.0,203.8
FD002,patchtst,mse,50,0.0005,"patch10,stride5,d_model64,layers2,revinFalse",7,13.044,13.28,728.6,167.3
FD002,patchtst,mse,30,0.001,"patch10,stride5,d_model64,layers3,revinTrue",42,17.046,17.521,1571.2,223.6
FD002,patchtst,asym,30,0.001,"patch10,stride5,d_model64,layers3,revinTrue",7,17.0,17.705,1994.2,176.2
FD002,patchtst,mse,30,0.0005,"patch10,stride5,d_model64,layers3,revinFalse",42,14.977,13.692,770.7,146.7
FD002,patchtst,asym,30,0.0005,"patch10,stride5,d_model64,layers3,revinFalse",7,14.734,13.669,774.1,191.3
FD002,patchtst,mse,50,0.001,"patch10,stride5,d_model128,layers2,revinTrue",42,15.428,18.422,2179.7,377.2
FD002,patchtst,asym,50,0.001,"patch10,stride5,d_model128,layers2,revinTrue",7,14.175,18.44,3469.1,251.1
FD002,patchtst,mse,50,0.0005,"patch10,stride5,d_model128,layers2,revinFalse",42,13.379,13.524,777.2,163.9
FD002,patchtst,asym,50,0.0005,"patch10,stride5,d_model128,layers2,revinFalse",7,13.199,13.584,770.2,167.9
FD002,patchtst,asym,30,0.001,"patch10,stride5,d_model128,layers3,revinTrue",42,18.329,19.143,2873.1,807.0
FD002,patchtst,mse,30,0.001,"patch10,stride5,d_model128,layers3,revinFalse",7,15.148,13.802,840.3,139.5
FD002,patchtst,asym,30,0.0005,"patch10,stride5,d_model128,layers3,revinFalse",42,14.972,13.844,749.2,98.8
FD003,cnn,mse,30,0.0005,"ch32,k3,poolavg,p0.2",7,16.122,20.565,1759.3,17.8
FD003,cnn,asym,50,0.0005,"ch32,k3,poolavg,p0.2",7,17.743,24.053,2960.5,11.1
FD003,cnn,asym,30,0.0005,"ch32,k3,poolavg,p0.3",7,16.056,20.318,1663.0,16.8
FD003,cnn,mse,50,0.0005,"ch32,k3,poolmax,p0.2",7,25.083,26.518,5510.6,10.3
FD003,cnn,mse,30,0.0005,"ch32,k3,poolmax,p0.3",7,16.888,21.202,1984.7,8.2
FD003,cnn,asym,50,0.0005,"ch32,k3,poolmax,p0.3",7,24.556,26.137,4337.4,10.4
FD003,cnn,asym,30,0.0005,"ch32,k5,poolavg,p0.2",7,14.023,17.868,1045.8,16.7
FD003,cnn,mse,50,0.0005,"ch32,k5,poolavg,p0.3",7,16.968,23.129,1915.8,11.6
FD003,cnn,mse,30,0.0005,"ch32,k5,poolmax,p0.2",7,13.535,16.619,1010.3,22.7
FD003,cnn,asym,50,0.0005,"ch32,k5,poolmax,p0.2",7,13.079,16.246,640.2,21.1
FD003,cnn,asym,30,0.0005,"ch32,k5,poolmax,p0.3",7,13.788,16.764,718.8,21.3
FD003,cnn,mse,50,0.0005,"ch32,k7,poolavg,p0.2",7,15.543,18.236,840.4,10.2
FD003,cnn,mse,30,0.0005,"ch32,k7,poolavg,p0.3",7,14.031,15.832,525.4,11.6
FD003,cnn,asym,50,0.0005,"ch32,k7,poolavg,p0.3",7,15.23,17.821,736.9,11.3
FD003,cnn,asym,30,0.0005,"ch32,k7,poolmax,p0.2",7,13.04,16.596,831.3,11.6
FD003,cnn,mse,50,0.0005,"ch32,k7,poolmax,p0.3",7,14.565,18.223,1072.5,9.9
FD003,cnn,mse,30,0.0005,"ch64,k3,poolavg,p0.2",7,15.564,22.633,2733.2,7.7
FD003,cnn,asym,50,0.0005,"ch64,k3,poolavg,p0.2",7,18.226,23.306,2679.9,9.1
FD003,cnn,asym,30,0.0005,"ch64,k3,poolavg,p0.3",7,15.431,19.584,1600.5,13.9
FD003,cnn,mse,50,0.0005,"ch64,k3,poolmax,p0.2",7,23.749,26.575,3175.6,11.5
FD003,cnn,mse,30,0.0005,"ch64,k3,poolmax,p0.3",7,17.533,22.683,2914.6,10.0
FD003,cnn,asym,50,0.0005,"ch64,k3,poolmax,p0.3",7,22.812,26.05,2956.5,15.2
FD003,cnn,asym,30,0.0005,"ch64,k5,poolavg,p0.2",7,12.737,16.582,547.9,11.2
FD003,cnn,mse,50,0.0005,"ch64,k5,poolavg,p0.3",7,13.566,18.463,897.7,15.4
FD003,cnn,mse,30,0.0005,"ch64,k5,poolmax,p0.2",7,13.411,17.461,1377.5,13.3
FD003,cnn,asym,50,0.0005,"ch64,k5,poolmax,p0.2",7,13.967,16.711,757.5,12.1
FD003,cnn,asym,30,0.0005,"ch64,k5,poolmax,p0.3",7,13.062,17.192,893.2,13.7
FD003,cnn,mse,50,0.0005,"ch64,k7,poolavg,p0.2",7,13.244,15.043,367.4,13.7
FD003,cnn,mse,30,0.0005,"ch64,k7,poolavg,p0.3",7,13.163,15.439,535.8,16.5
FD003,cnn,asym,50,0.0005,"ch64,k7,poolavg,p0.3",7,13.296,14.96,353.2,14.8
FD003,cnn,asym,30,0.0005,"ch64,k7,poolmax,p0.2",7,13.112,17.889,860.1,14.0
FD003,cnn,mse,50,0.0005,"ch64,k7,poolmax,p0.3",7,14.043,17.041,858.6,12.7
FD003,cnn,mse,30,0.0005,"ch96,k3,poolavg,p0.2",7,15.889,20.723,1556.8,10.1
FD003,cnn,asym,50,0.0005,"ch96,k3,poolavg,p0.2",7,19.208,21.302,1455.3,9.9
FD003,cnn,asym,30,0.0005,"ch96,k3,poolavg,p0.3",7,15.555,21.172,1406.8,8.2
FD003,cnn,mse,50,0.0005,"ch96,k3,poolmax,p0.2",7,24.182,29.786,8872.4,6.3
FD003,cnn,mse,30,0.0005,"ch96,k3,poolmax,p0.3",7,17.226,20.574,1485.5,10.7
FD003,cnn,asym,50,0.0005,"ch96,k3,poolmax,p0.3",7,23.657,29.693,7607.6,6.0
FD003,cnn,asym,30,0.0005,"ch96,k5,poolavg,p0.2",7,14.097,17.938,803.7,9.9
FD003,cnn,mse,50,0.0005,"ch96,k5,poolavg,p0.3",7,15.583,20.9,1263.2,9.9
FD003,cnn,mse,30,0.0005,"ch96,k5,poolmax,p0.2",7,14.49,18.581,1160.3,14.9
FD003,cnn,asym,50,0.0005,"ch96,k5,poolmax,p0.2",7,11.863,14.713,493.4,10.7
FD003,cnn,asym,30,0.0005,"ch96,k5,poolmax,p0.3",7,13.607,17.041,639.9,14.3
FD003,cnn,mse,50,0.0005,"ch96,k7,poolavg,p0.2",7,13.873,16.562,441.1,8.4
FD003,cnn,mse,30,0.0005,"ch96,k7,poolavg,p0.3",7,12.994,15.651,413.4,12.4
FD003,cnn,asym,50,0.0005,"ch96,k7,poolavg,p0.3",7,13.679,16.032,502.5,10.5
FD003,cnn,asym,30,0.0005,"ch96,k7,poolmax,p0.2",7,14.066,15.829,578.2,15.2
FD003,cnn,mse,50,0.0005,"ch96,k7,poolmax,p0.3",7,14.431,16.979,794.8,12.4
FD003,cnn,mse,30,0.0005,"ch128,k3,poolavg,p0.2",7,16.219,22.179,2250.6,8.3
FD003,cnn,asym,50,0.0005,"ch128,k3,poolavg,p0.2",7,17.673,23.05,1987.8,9.2
FD003,cnn,asym,30,0.0005,"ch128,k3,poolavg,p0.3",7,16.914,21.293,2085.9,7.9
FD003,cnn,mse,50,0.0005,"ch128,k3,poolmax,p0.2",7,17.276,22.968,1905.3,10.5
FD003,cnn,mse,30,0.0005,"ch128,k3,poolmax,p0.3",7,14.306,18.263,1237.9,12.8
FD003,cnn,asym,50,0.0005,"ch128,k3,poolmax,p0.3",7,16.42,21.919,1528.7,10.0
FD003,cnn,asym,30,0.0005,"ch128,k5,poolavg,p0.2",7,13.156,15.663,415.5,13.6
FD003,cnn,mse,50,0.0005,"ch128,k5,poolavg,p0.3",7,14.053,19.209,1155.0,14.8
FD003,cnn,mse,30,0.0005,"ch128,k5,poolmax,p0.2",7,14.364,18.609,1450.1,14.3
FD003,cnn,asym,50,0.0005,"ch128,k5,poolmax,p0.2",7,13.543,16.456,835.3,16.0
FD003,cnn,asym,30,0.0005,"ch128,k5,poolmax,p0.3",7,14.855,17.543,1166.5,16.6
FD003,cnn,mse,50,0.0005,"ch128,k7,poolavg,p0.2",7,13.623,16.64,545.5,10.3
FD003,cnn,mse,30,0.0005,"ch128,k7,poolavg,p0.3",7,12.711,16.625,599.6,11.1
FD003,cnn,asym,50,0.0005,"ch128,k7,poolavg,p0.3",7,13.462,14.515,354.9,20.7
FD003,cnn,asym,30,0.0005,"ch128,k7,poolmax,p0.2",7,12.826,16.661,741.7,11.4
FD003,cnn,mse,50,0.0005,"ch128,k7,poolmax,p0.3",7,13.611,16.343,734.8,13.9
FD003,lstm,mse,30,0.0005,"hid64,layers1,p0.2",7,12.264,15.038,838.5,17.8
FD003,lstm,asym,50,0.0005,"hid64,layers1,p0.2",7,10.88,14.985,657.9,20.1
FD003,lstm,asym,30,0.0005,"hid64,layers1,p0.3",7,11.806,14.083,459.9,25.2
FD003,lstm,mse,50,0.0005,"hid64,layers2,p0.2",7,11.414,14.748,1123.9,36.0
FD003,lstm,mse,30,0.0005,"hid64,layers2,p0.3",7,11.425,14.69,1049.3,25.2
FD003,lstm,asym,50,0.0005,"hid64,layers2,p0.3",7,10.566,14.547,876.7,29.7
FD003,lstm,asym,30,0.0005,"hid64,layers3,p0.2",7,11.307,14.058,852.0,26.3
FD003,lstm,mse,50,0.0005,"hid64,layers3,p0.3",7,10.804,14.558,1089.6,36.3
FD003,lstm,mse,30,0.0005,"hid96,layers1,p0.2",7,12.569,14.368,932.1,22.6
FD003,lstm,asym,50,0.0005,"hid96,layers1,p0.2",7,10.981,13.775,614.5,26.2
FD003,lstm,asym,30,0.0005,"hid96,layers1,p0.3",7,11.532,13.647,510.9,29.7
FD003,lstm,mse,50,0.0005,"hid96,layers2,p0.2",7,10.234,14.385,1043.8,28.5
FD003,lstm,mse,30,0.0005,"hid96,layers2,p0.3",7,11.075,14.069,1004.5,20.7
FD003,lstm,asym,50,0.0005,"hid96,layers2,p0.3",7,11.061,14.11,936.7,41.9
FD003,lstm,asym,30,0.0005,"hid96,layers3,p0.2",7,10.986,13.668,1004.3,38.5
FD003,lstm,mse,50,0.0005,"hid96,layers3,p0.3",7,10.747,13.633,941.0,38.3
FD003,lstm,mse,30,0.0005,"hid128,layers1,p0.2",7,11.648,14.428,485.1,33.0
FD003,lstm,asym,50,0.0005,"hid128,layers1,p0.2",7,10.467,13.369,453.0,38.7
FD003,lstm,asym,30,0.0005,"hid128,layers1,p0.3",7,11.147,13.616,305.6,37.6
FD003,lstm,mse,50,0.0005,"hid128,layers2,p0.2",7,10.889,15.054,1267.5,33.9
FD003,lstm,mse,30,0.0005,"hid128,layers2,p0.3",7,11.441,14.447,936.6,46.8
FD003,lstm,asym,50,0.0005,"hid128,layers2,p0.3",7,10.488,14.666,779.3,47.8
FD003,lstm,asym,30,0.0005,"hid128,layers3,p0.2",7,10.489,12.135,297.6,58.1
FD003,lstm,mse,50,0.0005,"hid128,layers3,p0.3",7,41.893,39.997,19195.7,23.3
FD003,lstm,mse,30,0.0005,"hid160,layers1,p0.2",7,12.248,14.65,781.7,63.4
FD003,lstm,asym,50,0.0005,"hid160,layers1,p0.2",7,10.486,14.069,905.9,51.4
FD003,lstm,asym,30,0.0005,"hid160,layers1,p0.3",7,11.852,13.479,335.8,65.3
FD003,lstm,mse,50,0.0005,"hid160,layers2,p0.2",7,10.532,14.074,1197.2,82.7
FD003,lstm,mse,30,0.0005,"hid160,layers2,p0.3",7,10.947,13.98,589.5,59.8
FD003,lstm,asym,50,0.0005,"hid160,layers2,p0.3",7,10.497,12.732,405.7,96.5
FD003,lstm,asym,30,0.0005,"hid160,layers3,p0.2",7,10.89,12.92,324.2,136.3
FD003,lstm,mse,50,0.0005,"hid160,layers3,p0.3",7,41.892,40.043,19602.3,61.4
FD003,gru,mse,30,0.0005,"hid64,layers1,p0.2",7,11.404,13.889,461.4,35.3
FD003,gru,asym,50,0.0005,"hid64,layers1,p0.2",7,15.277,17.72,1103.2,14.9
FD003,gru,asym,30,0.0005,"hid64,layers1,p0.3",7,14.665,17.351,1144.5,34.3
FD003,gru,mse,50,0.0005,"hid64,layers2,p0.2",7,9.988,12.543,269.8,16.0
FD003,gru,mse,30,0.0005,"hid64,layers2,p0.3",7,11.256,13.245,347.4,26.9
FD003,gru,asym,50,0.0005,"hid64,layers2,p0.3",7,10.315,12.586,263.9,25.0
FD003,gru,asym,30,0.0005,"hid64,layers3,p0.2",7,11.17,12.577,252.9,29.0
FD003,gru,mse,50,0.0005,"hid64,layers3,p0.3",7,9.99,12.63,258.1,38.1
