fd,model,loss,window,lr,hp,test_rmse,test_rmse_std,nasa,val_rmse,n
FD001,patchtst,asym,30,0.001,"patch10,stride5,d_model64,layers3,revinFalse",11.683,,205.8,12.246,1
FD001,patchtst,mse,50,0.0,"patch10,stride5,d_model64,layers2,revinFalse",11.768,0.08,254.15,10.289,2
FD001,patchtst,asym,30,0.001,"patch10,stride5,d_model128,layers2,revinFalse",11.81,0.155,205.7,12.23,2
FD001,patchtst,asym,50,0.001,"patch10,stride5,d_model128,layers2,revinFalse",11.835,,220.1,10.474,1
FD001,patchtst,asym,50,0.001,"patch10,stride5,d_model64,layers2,revinFalse",11.842,0.12,242.6,10.26,2
FD001,patchtst,asym,50,0.0,"patch10,stride5,d_model64,layers2,revinFalse",11.872,0.048,206.0,9.914,2
FD001,patchtst,asym,30,0.0,"patch10,stride5,d_model64,layers3,revinFalse",11.909,0.047,212.5,12.473,2
FD001,patchtst,asym,30,0.001,"patch10,stride5,d_model64,layers2,revinFalse",11.928,0.405,206.3,12.233,2
FD001,patchtst,mse,50,0.001,"patch10,stride5,d_model64,layers2,revinFalse",12.029,,251.0,10.322,1
FD001,patchtst,mse,30,0.001,"patch10,stride5,d_model64,layers3,revinFalse",12.08,0.037,227.0,12.399,2
FD001,patchtst,asym,30,0.0,"patch10,stride5,d_model64,layers2,revinFalse",12.134,,223.8,12.501,1
FD001,patchtst,asym,30,0.0,"patch10,stride5,d_model128,layers2,revinFalse",12.186,0.183,229.75,12.308,2
FD001,patchtst,mse,30,0.001,"patch10,stride5,d_model128,layers2,revinFalse",12.244,,235.7,12.588,1
FD001,patchtst,mse,50,0.001,"patch10,stride5,d_model64,layers3,revinFalse",12.245,0.638,261.0,10.334,2
FD001,patchtst,mse,30,0.001,"patch10,stride5,d_model64,layers2,revinFalse",12.257,0.264,245.65,12.608,2
FD001,patchtst,asym,50,0.0,"patch10,stride5,d_model128,layers2,revinFalse",12.273,0.018,243.55,10.128,2
FD001,patchtst,mse,50,0.0,"patch10,stride5,d_model64,layers3,revinFalse",12.286,0.445,249.15,10.254,2
FD001,patchtst,mse,30,0.001,"patch10,stride5,d_model128,layers3,revinFalse",12.288,0.19,224.95,12.802,2
FD001,patchtst,asym,30,0.0,"patch10,stride5,d_model128,layers3,revinFalse",12.291,,215.5,12.259,1
FD001,patchtst,mse,50,0.0,"patch10,stride5,d_model128,layers2,revinFalse",12.313,,234.5,10.284,1
FD001,patchtst,asym,50,0.001,"patch10,stride5,d_model64,layers3,revinFalse",12.364,0.493,230.3,10.073,2
