fd,model,loss,window,lr,hp,seed,val_rmse,test_rmse,nasa,sec
FD001,ridge,-,30,0.0,alpha1.0,42,20.086,17.622,545.0,0.1
FD001,ridge,-,30,0.0,alpha10.0,42,19.945,17.571,549.5,0.1
FD001,rf,-,30,0.0,"n_estimators400,max_depth16",42,19.378,19.089,1721.4,345.7
FD001,svr,-,30,0.0,"C10,gammascale",42,16.283,15.098,417.1,18.0
FD002,ridge,-,30,0.0,alpha1.0,42,20.369,19.552,1869.7,0.3
FD002,ridge,-,30,0.0,alpha10.0,42,20.327,19.539,1867.8,0.2
FD002,rf,-,30,0.0,"n_estimators400,max_depth16",42,20.184,17.738,1888.5,1128.3
FD002,svr,-,30,0.0,"C10,gammascale",42,19.182,16.564,1646.2,150.6
FD003,ridge,-,30,0.0,alpha1.0,42,16.731,18.649,759.3,0.1
FD003,ridge,-,30,0.0,alpha10.0,42,16.67,18.787,783.1,0.1
FD003,rf,-,30,0.0,"n_estimators400,max_depth16",42,13.966,17.88,1510.6,443.6
FD003,svr,-,30,0.0,"C10,gammascale",42,14.357,18.559,1432.8,30.0
FD004,ridge,-,30,0.0,alpha1.0,42,21.07,21.797,2954.9,0.3
FD004,ridge,-,30,0.0,alpha10.0,42,21.025,21.806,2954.9,0.2
FD004,rf,-,30,0.0,"n_estimators400,max_depth16",42,20.134,18.934,3330.1,1278.6
FD004,svr,-,30,0.0,"C10,gammascale",42,19.234,18.361,3809.5,220.5
FD002,cnn,asym,50,0.0005,"ch128,k5,poolavg,p0.2",7,21.35,22.554,951140.1,23.9
FD002,cnn,mse,30,0.0005,"ch128,k5,poolmax,p0.3",7,21.192,20.981,3630.2,24.0
FD002,cnn,mse,50,0.0005,"ch128,k7,poolavg,p0.3",7,20.774,20.243,2709.2,37.3
FD002,cnn,asym,30,0.0005,"ch128,k7,poolmax,p0.3",7,20.469,19.101,4434.3,20.9
FD002,lstm,asym,50,0.0005,"hid64,layers1,p0.3",7,13.356,13.301,748.6,52.2
FD002,lstm,mse,30,0.0005,"hid64,layers3,p0.2",7,15.301,14.958,1359.0,43.2
FD002,lstm,mse,50,0.0005,"hid96,layers1,p0.2",7,13.351,13.19,989.6,37.5
FD002,lstm,asym,30,0.0005,"hid96,layers2,p0.2",7,15.149,14.462,1052.3,34.9
FD002,lstm,asym,50,0.0005,"hid96,layers3,p0.2",7,14.136,13.63,865.2,45.2
FD002,lstm,mse,30,0.0005,"hid128,layers1,p0.3",7,14.789,13.988,1009.1,40.4
FD002,lstm,mse,50,0.0005,"hid128,layers2,p0.3",7,13.444,12.998,840.9,64.7
